zip_code,latitude,longitude
57800,19.3910115,-98.98481555
54924,19.6690547,-99.0760928
57450,19.4091352,-99.0536662
54475,19.6054097,-99.2949337
56376,19.4046014,-98.9076304
57940,19.3719112,-98.9828132
57440,19.4086051,-99.0516627
57710,19.38826393,-99.00419772
56530,19.316304525,-98.893191625
54020,19.551647916666667,-99.21695848333334
57310,19.4178516,-99.0274296
55066,19.6283701,-98.99730776666668
56337,19.404581,-98.9586426
57200,19.432998,-99.0595219
56430,19.3693459,-98.9829425
72470,19.001758233333334,-98.22885366666668
09280,19.34681915,-99.05127787984252
55707,19.6279133,-99.1212536
54984,19.6632508,-99.1346447
54985,19.6573205,-99.1194397
55604,19.7892393,-99.0607551
56226,19.480136,-98.8822715
09637,19.33056365,-98.97785493856196
57410,19.4170075,-99.0524894
09290,19.35606315,-99.04489773957395
09220,19.38622435,-99.0572094085035
54740,19.60671125714285,-99.20682532857144
09000,19.3636288,-99.09399964881558
09100,19.3912822,-99.04195319938626
09240,19.3583937,-99.06406610656944
56040,19.5870981,-98.8834066
55130,19.5360362,-99.04249496666668
09700,19.33097845,-99.043769518861
09410,19.37527635,-99.10579373829871
09570,19.3574708,-99.0329559003976
56776,19.105607733333333,-98.8051659
09690,19.3442308,-98.9982926774142
56346,19.4096331,-98.9790139
09040,19.37527635,-99.08805924783276
56616,19.2748096,-98.9210483
55020,19.6072375,-99.0589352
13210,19.2998701,-99.05875914312344
09360,19.35634145,-99.07936541698228
09750,19.33446585,-99.05181913250672
56270,19.54848766,-98.89098724
09800,19.33804795,-99.10474770097088
09820,19.35110545,-99.10300915191424
09696,19.332976,-98.99602284070642
13219,19.306847266666665,-99.0553464
09608,19.35232145,-99.01053785591289
08730,19.3919316,-99.10151420416906
09300,19.36712855,-99.07622868583356
09630,19.345568,-98.98847345368908
09310,19.37801645,-99.06953721895042
09920,19.30536105,-99.0823825585629
09208,19.37677995,-99.04984876027892
08310,19.4034626,-99.1164582463772
09230,19.3779454,-99.03157668971612
09850,19.33559825,-99.08350426318246
57520,19.4006743,-99.0533074
09200,19.35726375,-99.05514616583372
09239,19.36826175,-99.02763329166729
15630,19.42574465,-99.0699773920702
09638,19.3393576,-98.9792046898354
09578,19.367010200000003,-99.03545857496512
54784,19.7440753,-99.1741151
09620,19.3533499,-98.99778316870378
09960,19.293614,-99.06598567692556
09520,19.3629169,-99.0161166274346
08510,19.3945337,-99.08488753991776
54938,19.6703442,-99.0884572
08930,19.38489035,-99.11684274480643
09708,19.32452955,-99.04759383049635
09900,19.30700445,-99.07240344543948
09670,19.3361732,-99.02556375729186
